ORF	SGD	GENENAME	logFC	unshrunk.logFC	logCPM	PValue	FDR
YKL016C	S000001499	ATP7	-0.39	-0.388	7.08	1	1
YBR234C	S000000438	ARC40	-0.3	-0.296	8.03	1	1
YNL069C	S000005013	RPL16B	0.35	0.346	11	1	1
YNL121C	S000005065	TOM70	0.17	0.174	7.77	1	1
YGR266W	S000003498	NA	0.15	0.153	6.22	1	1
YIL038C	S000001300	NOT3	0.28	0.278	6.32	1	1
YJR145C	S000003906	RPS4A	0.32	0.316	10.9	1	1
YPR043W	S000006247	RPL43A	0.32	0.319	9.72	1	1
YOL002C	S000005362	IZH2	0.15	0.152	5.58	1	1
YOR063W	S000005589	RPL3	0.41	0.411	12.1	1	1
YDR385W	S000002793	EFT2	-0.1	-0.0957	11	1	1
YNL321W	S000005265	VNX1	-0.41	-0.408	7.17	1	1
YPL126W	S000006047	NAN1	0.16	0.162	7.51	1	1
YPL127C	S000006048	HHO1	-0.05	-0.0542	5.53	1	1
YER124C	S000000926	DSE1	0.09	0.0937	6.14	1	1
YLR256W	S000004246	HAP1	-0.41	-0.406	6.33	1	1
YKL165C	S000001648	MCD4	-0.2	-0.201	8.49	1	1
YDR127W	S000002534	ARO1	0.08	0.0826	8.92	1	1
YLL013C	S000003936	PUF3	0.12	0.119	6.11	1	1
YJL191W	S000003727	RPS14B	0.38	0.376	8.17	1	1
YGL021W	S000002989	ALK1	0.21	0.211	5.5	1	1
YMR125W	S000004732	STO1	0.36	0.363	7.84	1	1
YJL034W	S000003571	KAR2	-0.43	-0.433	12.4	1	1
YGL043W	S000003011	DST1	0.14	0.143	5.82	1	1
YOL127W	S000005487	RPL25	0.34	0.342	10.5	1	1
YNL232W	S000005176	CSL4	0.23	0.232	5.71	1	1
YMR258C	S000004871	ROY1	-0.34	-0.338	5.99	1	1
YGR012W	S000003244	MCY1	0.21	0.206	5.71	1	1
YNL209W	S000005153	SSB2	0.27	0.269	12.1	1	1
YNL091W	S000005035	NST1	0.1	0.0965	6.29	1	1
YDR050C	S000002457	TPI1	-0.13	-0.134	12.8	1	1
YGR001C	S000003233	EFM5	0.34	0.338	6.06	1	1
YKL125W	S000001608	RRN3	-0.25	-0.253	5.86	1	1
YAL041W	S000000039	CDC24	0.34	0.338	6.29	1	1
YDL081C	S000002239	RPP1A	0.17	0.169	10.2	1	1
YML025C	S000004487	YML6	0.28	0.281	5.85	1	1
YOL122C	S000005482	SMF1	-0.11	-0.108	6.35	1	1
YMR292W	S000004906	GOT1	0.04	0.0449	5.69	1	1
YPR075C	S000006279	OPY2	-0.31	-0.314	5.57	1	1
YKL211C	S000001694	TRP3	0.22	0.222	6.35	1	1
YNL154C	S000005098	YCK2	-0.23	-0.232	7.48	1	1
YJL154C	S000003690	VPS35	-0.33	-0.328	6.91	1	1
YPR132W	S000006336	RPS23B	0.4	0.396	10.1	1	1
YPL260W	S000006181	CUB1	-0.15	-0.151	6.49	1	1
YEL007W	S000000733	MIT1	-0.3	-0.301	6.69	1	1
YJL098W	S000003634	SAP185	0.14	0.143	5.82	1	1
YKL180W	S000001663	RPL17A	0.39	0.394	10.3	1	1
YLR373C	S000004365	VID22	0.22	0.223	6.01	1	1
YPR080W	S000006284	TEF1	-0.13	-0.133	13.1	1	1
YNL031C	S000004976	HHT2	-0.35	-0.354	8.7	1	1
YJR042W	S000003803	NUP85	0.33	0.335	6.59	1	1
YNL066W	S000005010	SUN4	-0.27	-0.27	7.16	1	1
YLR034C	S000004024	SMF3	-0.27	-0.267	8.15	1	1
YNL208W	S000005152	NA	-0.3	-0.295	6.62	1	1
YBR127C	S000000331	VMA2	-0.33	-0.325	9.16	1	1
YLR333C	S000004325	RPS25B	0.3	0.302	8.61	1	1
YOR167C	S000005693	RPS28A	0.1	0.103	8.47	1	1
YJR123W	S000003884	RPS5	0.38	0.375	11.9	1	1
YNL263C	S000005207	YIF1	-0.22	-0.216	7.26	1	1
YFL036W	S000001858	RPO41	-0.46	-0.458	6.92	1	1
YDR372C	S000002780	VPS74	0.27	0.269	6.95	1	1
YNR017W	S000005300	TIM23	0.33	0.326	6.71	1	1
YGL049C	S000003017	TIF4632	-0.08	-0.0806	6.23	1	1
YDL061C	S000002219	RPS29B	0.11	0.108	7.91	1	1
YBR208C	S000000412	DUR1,2	-0.07	-0.0731	5.95	1	1
YDR211W	S000002619	GCD6	0.42	0.419	6.94	1	1
YPL224C	S000006145	MMT2	-0.21	-0.212	5.41	1	1
YJL012C	S000003549	VTC4	0.49	0.494	8.14	1	1
YOL103W	S000005463	ITR2	0.3	0.297	6.41	1	1
YKL064W	S000001547	MNR2	-0.38	-0.375	6.51	1	1
YER010C	S000000812	NA	-0.08	-0.0834	5.26	1	1
YHR161C	S000001204	YAP1801	-0.24	-0.241	6.21	1	1
YHR012W	S000001054	VPS29	0.23	0.232	5.72	1	1
YDL112W	S000002270	TRM3	0.38	0.384	6.97	1	1
YGR124W	S000003356	ASN2	0.44	0.443	9.73	1	1
YIL108W	S000001370	NA	0.19	0.185	6.46	1	1
YNL084C	S000005028	END3	0.05	0.0526	6.1	1	1
YDR367W	S000002775	KEI1	-0.23	-0.232	5.92	1	1
YLR044C	S000004034	PDC1	0.02	0.0153	14.4	1	1
YHR141C	S000001183	RPL42B	0.43	0.427	9.74	1	1
YOL059W	S000005420	GPD2	-0.25	-0.252	9.61	1	1
YGR090W	S000003322	UTP22	0.46	0.458	8.08	1	1
YIL130W	S000001392	ASG1	-0.05	-0.0517	5.86	1	1
YER043C	S000000845	SAH1	0.27	0.266	10.4	1	1
YMR092C	S000004698	AIP1	-0.41	-0.414	7.63	1	1
YDL035C	S000002193	GPR1	-0.15	-0.148	5.73	1	1
YOL030W	S000005390	GAS5	-0.25	-0.252	8.61	1	1
YLR399C	S000004391	BDF1	-0.14	-0.139	6.29	1	1
YBL072C	S000000168	RPS8A	0.37	0.37	11.1	1	1
YDR395W	S000002803	SXM1	0.46	0.464	8.03	1	1
YMR121C	S000004728	RPL15B	-0.04	-0.0373	6.13	1	1
YMR022W	S000004624	UBC7	-0.25	-0.251	5.6	1	1
YHR032W	S000001074	ERC1	-0.22	-0.22	6.93	1	1
YOL027C	S000005387	MDM38	0.08	0.0839	6.29	1	1
YBR036C	S000000240	CSG2	-0.28	-0.278	7.66	1	1
YNL322C	S000005266	KRE1	-0.16	-0.155	7.16	1	1
YJL055W	S000003591	NA	-0.26	-0.256	6.19	1	1
YAL053W	S000000049	FLC2	-0.31	-0.307	7.09	1	1
YHR135C	S000001177	YCK1	0.33	0.327	6.57	1	1
YGR017W	S000003249	NA	0.17	0.169	5.96	1	1
YML103C	S000004571	NUP188	0.3	0.299	7.6	1	1
YDR071C	S000002478	PAA1	0.12	0.115	6.35	1	1
YIL128W	S000001390	MET18	0.19	0.188	6.2	1	1
YBR158W	S000000362	AMN1	0.2	0.198	5.6	1	1
YIR033W	S000001472	MGA2	0.24	0.237	6.09	1	1
YJR124C	S000003885	NA	0.34	0.345	6.08	1	1
YKR084C	S000001792	HBS1	0.31	0.307	6.06	1	1
YPL178W	S000006099	CBC2	0.38	0.379	6.15	1	1
YMR088C	S000004694	VBA1	0.14	0.138	6.71	1	1
YLR190W	S000004180	MMR1	-0.14	-0.138	6.86	1	1
YEL043W	S000000769	NA	0.45	0.452	6.76	1	1
YML023C	S000004485	NSE5	0.29	0.295	5.84	1	1
YNR016C	S000005299	ACC1	0.25	0.248	10.5	1	1
YJL061W	S000003597	NUP82	0.15	0.146	6.22	1	1
YHR069C	S000001111	RRP4	0.12	0.125	5.46	1	1
YOR191W	S000005717	ULS1	-0.26	-0.256	6.05	1	1
YDR531W	S000002939	CAB1	0.41	0.41	6.56	1	1
YKL004W	S000001487	AUR1	0.22	0.22	7.66	1	1
YHR205W	S000001248	SCH9	0.2	0.203	7.08	1	1
YJL091C	S000003627	GWT1	-0.23	-0.234	6.92	1	1
YFL025C	S000001869	BST1	-0.22	-0.22	6.08	1	1
YER055C	S000000857	HIS1	0.29	0.29	7.81	1	1
YLR387C	S000004379	REH1	0.2	0.196	5.87	1	1
YDL226C	S000002385	GCS1	0.31	0.307	5.82	1	1
YLR207W	S000004197	HRD3	-0.27	-0.267	6.24	1	1
YGL031C	S000002999	RPL24A	0.34	0.335	10.1	1	1
YIL169C	S000001431	CSS1	-0.04	-0.0375	13.3	1	1
YEL015W	S000000741	EDC3	0.28	0.279	5.94	1	1
YIL070C	S000001332	MAM33	0.24	0.242	6.18	1	1
YAR002W	S000000063	NUP60	0.28	0.283	6.25	1	1
YOL011W	S000005371	PLB3	-0.34	-0.336	5.83	1	1
YKR042W	S000001750	UTH1	0.15	0.151	8.63	1	1
YDR297W	S000002705	SUR2	-0.2	-0.205	6.19	1	1
YBR196C	S000000400	PGI1	-0.15	-0.15	12	1	1
YNL161W	S000005105	CBK1	0.29	0.288	5.88	1	1
YGR117C	S000003349	NA	0.23	0.228	5.82	1	1
YMR230W	S000004843	RPS10B	0.42	0.42	9.11	1	1
YKL096W-A	S000001956	CWP2	0.01	0.0124	8.37	1	1
YDR177W	S000002584	UBC1	-0.13	-0.131	6	1	1
YIL009W	S000001271	FAA3	0.38	0.382	6.6	1	1
YNL139C	S000005083	THO2	0.29	0.293	6.39	1	1
YLR357W	S000004349	RSC2	0.23	0.235	5.87	1	1
YLR287C-A	S000004278	RPS30A	0.24	0.243	8.18	1	1
YDR166C	S000002573	SEC5	0.11	0.109	5.97	1	1
YMR143W	S000004751	RPS16A	0.36	0.362	9.96	1	1
YOR187W	S000005713	TUF1	-0.44	-0.439	9.22	1	1
YGR080W	S000003312	TWF1	-0.24	-0.237	5.96	1	1
YMR071C	S000004675	TVP18	-0.32	-0.32	5.97	1	1
YPR139C	S000006343	LOA1	0.03	0.0256	5.75	1	1
YDL102W	S000002260	POL3	0.21	0.208	5.66	1	1
YDL130W	S000002288	RPP1B	0.12	0.118	9.77	1	1
YFR039C	S000001935	OSW7	0.16	0.163	5.89	1	1
YPL030W	S000005951	TRM44	0.23	0.227	5.67	1	1
YDR430C	S000002838	CYM1	-0.16	-0.162	6.52	1	1
YPL246C	S000006167	RBD2	0.32	0.319	7.08	1	1
YMR008C	S000004610	PLB1	0.36	0.361	8.85	1	1
YGL112C	S000003080	TAF6	0.19	0.186	6.13	1	1
YKL204W	S000001687	EAP1	0.1	0.099	6.27	1	1
YPL081W	S000006002	RPS9A	0.36	0.356	8.04	1	1
YLR083C	S000004073	EMP70	0.29	0.293	8.51	1	1
YJL167W	S000003703	ERG20	0.37	0.37	8.7	1	1
YOR069W	S000005595	VPS5	0.11	0.113	5.71	1	1
YGR200C	S000003432	ELP2	0.39	0.393	7.04	1	1
YEL027W	S000000753	VMA3	-0.18	-0.185	9.37	1	1
YNL177C	S000005121	MRPL22	0.03	0.0337	5.73	1	1
YNR051C	S000005334	BRE5	-0.07	-0.0678	7.47	1	1
YLL043W	S000003966	FPS1	0.3	0.298	6.55	1	1
YKL068W	S000001551	NUP100	0.31	0.307	7	1	1
YOR093C	S000005619	CMR2	0.33	0.326	5.87	1	1
YBR004C	S000000208	GPI18	-0.02	-0.0231	5.88	1	1
YPR165W	S000006369	RHO1	-0.47	-0.472	8.5	1	1
YER164W	S000000966	CHD1	0.19	0.185	6.78	1	1
YML056C	S000004520	IMD4	0.32	0.315	9.73	1	1
YKR082W	S000001790	NUP133	0.25	0.246	6.7	1	1
YGR216C	S000003448	GPI1	0.21	0.207	6.2	1	1
YFR025C	S000001921	HIS2	0.17	0.168	5.79	1	1
YMR318C	S000004937	ADH6	0.3	0.299	8.06	1	1
YPR173C	S000006377	VPS4	0.07	0.0749	5.84	1	1
YLR380W	S000004372	CSR1	-0.12	-0.115	6.25	1	1
YCL049C	S000000554	NA	-0.38	-0.379	6.84	1	1
YDL122W	S000002280	UBP1	0.2	0.201	7.29	1	1
YLR071C	S000004061	RGR1	0.25	0.251	6.49	1	1
YNL011C	S000004956	NA	-0.21	-0.214	5.29	1	1
YNL249C	S000005193	MPA43	-0.12	-0.119	5.44	1	1
YCR035C	S000000631	RRP43	0.17	0.169	5.65	1	1
YDR086C	S000002493	SSS1	0.16	0.16	6.21	1	1
YKL117W	S000001600	SBA1	-0.18	-0.185	7.47	1	1
YNR019W	S000005302	ARE2	0.4	0.399	7.79	1	1
YBR249C	S000000453	ARO4	0.28	0.282	9.67	1	1
YGL038C	S000003006	OCH1	-0.14	-0.14	5.99	1	1
YOL060C	S000005421	MAM3	-0.35	-0.354	7.11	1	1
YJR117W	S000003878	STE24	-0.34	-0.343	9.04	1	1
YMR242C	S000004855	RPL20A	0.41	0.41	10.3	1	1
YKL038W	S000001521	RGT1	-0.21	-0.21	6.03	1	1
YOR098C	S000005624	NUP1	0.35	0.346	6.91	1	1
YCR028C	S000000623	FEN2	0.17	0.17	5.7	1	1
YHR103W	S000001145	SBE22	-0.36	-0.36	6.21	1	1
YHR123W	S000001165	EPT1	-0.24	-0.238	6.42	1	1
YML019W	S000004481	OST6	0.09	0.0914	6.12	1	1
YPL195W	S000006116	APL5	0.15	0.151	6.55	1	1
YJL128C	S000003664	PBS2	-0.21	-0.206	6.32	1	1
YHR056C	S000001098	RSC30	0.12	0.116	6.44	1	1
YNL212W	S000005156	VID27	-0.11	-0.106	6.15	1	1
YOR326W	S000005853	MYO2	0.34	0.344	8.61	1	1
YPL169C	S000006090	MEX67	0.21	0.209	6.97	1	1
YPL270W	S000006191	MDL2	-0.29	-0.293	6.32	1	1
YLR420W	S000004412	URA4	0.19	0.186	5.74	1	1
YER086W	S000000888	ILV1	0.3	0.299	8.62	1	1
YML024W	S000004486	RPS17A	0.33	0.326	10	1	1
YMR203W	S000004816	TOM40	-0.21	-0.205	8.83	1	1
YDR481C	S000002889	PHO8	-0.25	-0.252	6	1	1
YHR007C	S000001049	ERG11	0.39	0.386	9.34	1	1
YGL151W	S000003119	NUT1	0.07	0.0682	6.5	1	1
YLR378C	S000004370	SEC61	-0.13	-0.125	9.77	1	1
YLR410W	S000004402	VIP1	0.23	0.234	6.81	1	1
YBR166C	S000000370	TYR1	0.38	0.38	5.89	1	1
YMR300C	S000004915	ADE4	0.29	0.292	6.77	1	1
YGL201C	S000003169	MCM6	0.23	0.231	5.98	1	1
YNL220W	S000005164	ADE12	0.33	0.331	8.72	1	1
YGR232W	S000003464	NAS6	-0.16	-0.156	5.76	1	1
YDR069C	S000002476	DOA4	-0.14	-0.141	5.52	1	1
YGL001C	S000002969	ERG26	0.37	0.367	7.09	1	1
YOR361C	S000005888	PRT1	0.4	0.398	9.02	1	1
YGL147C	S000003115	RPL9A	0.21	0.212	10.2	1	1
YBR235W	S000000439	VHC1	-0.24	-0.235	6.26	1	1
YKL008C	S000001491	LAC1	-0.2	-0.204	6.61	1	1
YJL095W	S000003631	BCK1	-0.09	-0.0927	5.74	1	1
YDR411C	S000002819	DFM1	-0.27	-0.273	6.67	1	1
YBR171W	S000000375	SEC66	0.17	0.174	6.44	1	1
YKL060C	S000001543	FBA1	-0.15	-0.146	14.3	1	1
YAR003W	S000000064	SWD1	-0.21	-0.207	5.71	1	1
YLR332W	S000004324	MID2	-0.19	-0.191	6.49	1	1
YBL087C	S000000183	RPL23A	0.35	0.347	9.57	1	1
YNR008W	S000005291	LRO1	-0.21	-0.211	6.14	1	1
YGL012W	S000002980	ERG4	-0.12	-0.123	9.2	1	1
YPL204W	S000006125	HRR25	0.08	0.0842	6.51	1	1
YPL106C	S000006027	SSE1	-0.42	-0.424	10.7	1	1
YJL143W	S000003679	TIM17	-0.01	-0.0142	6.8	1	1
YFR028C	S000001924	CDC14	0.36	0.362	6.37	1	1
YCR005C	S000000598	CIT2	0.02	0.022	8.42	1	1
YIL088C	S000001350	AVT7	-0.29	-0.291	6.95	1	1
YMR093W	S000004699	UTP15	0.29	0.289	6.49	1	1
YDR091C	S000002498	RLI1	0.39	0.389	8.61	1	1
YER049W	S000000851	TPA1	0.39	0.392	7.58	1	1
YKL146W	S000001629	AVT3	-0.17	-0.173	6.33	1	1
YOL062C	S000005423	APM4	0.26	0.258	6.22	1	1
YPL235W	S000006156	RVB2	0.28	0.277	6.85	1	1
YCR033W	S000000629	SNT1	0.18	0.179	5.77	1	1
YNL256W	S000005200	FOL1	0.33	0.33	6.61	1	1
YKR065C	S000001773	PAM17	0.08	0.0769	6.34	1	1
YOR222W	S000005748	ODC2	0.15	0.15	6.06	1	1
YJL201W	S000003737	ECM25	0.3	0.3	5.86	1	1
YKL185W	S000001668	ASH1	-0.33	-0.326	7.31	1	1
YPR102C	S000006306	RPL11A	0.4	0.396	10.4	1	1
YLR220W	S000004210	CCC1	-0.17	-0.166	6.18	1	1
YLR398C	S000004390	SKI2	0.21	0.213	6.37	1	1
YDR492W	S000002900	IZH1	0.04	0.0433	5.66	1	1
YKR006C	S000001714	MRPL13	0.13	0.131	5.73	1	1
YGL054C	S000003022	ERV14	-0.09	-0.0868	6.53	1	1
YKL182W	S000001665	FAS1	0.19	0.188	10.5	1	1
YFR021W	S000001917	ATG18	-0.24	-0.24	5.58	1	1
YBL082C	S000000178	ALG3	0.03	0.0288	6.66	1	1
YOR303W	S000005829	CPA1	-0.1	-0.0998	7.84	1	1
YMR015C	S000004617	ERG5	0.33	0.328	8.56	1	1
YDL066W	S000002224	IDP1	0.23	0.23	7.99	1	1
YPL116W	S000006037	HOS3	-0.08	-0.0823	5.81	1	1
YAL002W	S000000002	VPS8	-0.18	-0.178	6	1	1
YPL058C	S000005979	PDR12	0.03	0.0323	6.8	1	1
YBL079W	S000000175	NUP170	0.3	0.299	7.24	1	1
YPL232W	S000006153	SSO1	0.07	0.0726	6.05	1	1
YDR505C	S000002913	PSP1	-0.05	-0.047	6.71	1	1
YOR232W	S000005758	MGE1	0.24	0.244	6.95	1	1
YPL226W	S000006147	NEW1	0.38	0.38	8.94	1	1
YER177W	S000000979	BMH1	-0.39	-0.393	9.95	1	1
YJL222W	S000003758	VTH2	-0.23	-0.227	6.2	1	1
YPL111W	S000006032	CAR1	0.32	0.319	8.46	1	1
YLR304C	S000004295	ACO1	0.05	0.0474	9.46	1	1
YER167W	S000000969	BCK2	0.25	0.25	6.23	1	1
YDR508C	S000002916	GNP1	0.37	0.37	9.07	1	1
YGL135W	S000003103	RPL1B	0.25	0.246	11.8	1	1
YKL207W	S000001690	EMC3	0.13	0.131	6.88	1	1
YBR092C	S000000296	PHO3	0.13	0.134	7.43	1	1
YKL101W	S000001584	HSL1	0.16	0.159	6.88	1	1
YOL076W	S000005436	MDM20	0.18	0.177	6.21	1	1
YGL233W	S000003202	SEC15	0.05	0.0453	5.98	1	1
YLR057W	S000004047	MNL2	0.11	0.11	5.69	1	1
YGL241W	S000003210	KAP114	0.25	0.25	6.27	1	1
YLR285W	S000004275	NNT1	0.18	0.177	5.86	1	1
YJL041W	S000003577	NSP1	0.21	0.215	7.05	1	1
YOL123W	S000005483	HRP1	-0.1	-0.0991	7.26	1	1
YBR221C	S000000425	PDB1	-0.22	-0.219	9.24	1	1
YJR103W	S000003864	URA8	0.08	0.0769	6.56	1	1
YOR288C	S000005814	MPD1	-0.36	-0.355	6.94	1	1
YPR118W	S000006322	MRI1	0.41	0.408	6.83	1	1
YCL044C	S000000549	MGR1	-0.11	-0.108	6.39	1	1
YLR266C	S000004256	PDR8	-0.07	-0.0653	5.48	1	1
YOR316C	S000005843	COT1	-0.35	-0.347	7.03	1	1
YOR103C	S000005629	OST2	-0.1	-0.0956	6.16	1	1
YGR185C	S000003417	TYS1	0.29	0.294	8.46	1	1
YBL045C	S000000141	COR1	-0.41	-0.409	8.57	1	1
YJL133W	S000003669	MRS3	-0.3	-0.298	6.27	1	1
YIR006C	S000001445	PAN1	-0.17	-0.175	7.72	1	1
YOR246C	S000005772	ENV9	0.11	0.106	5.88	1	1
YOR051C	S000005577	ETT1	0.03	0.0305	6.08	1	1
YJR139C	S000003900	HOM6	0.03	0.031	9.54	1	1
YDR284C	S000002692	DPP1	-0.33	-0.328	6.81	1	1
YGR231C	S000003463	PHB2	0.02	0.0211	6.53	1	1
YER125W	S000000927	RSP5	-0.25	-0.247	8.48	1	1
YKR054C	S000001762	DYN1	0.2	0.199	5.77	1	1
YBR017C	S000000221	KAP104	0.34	0.339	7.48	1	1
YAL019W	S000000017	FUN30	0.02	0.0228	6.01	1	1
YPL237W	S000006158	SUI3	0.36	0.357	8.13	1	1
YLL045C	S000003968	RPL8B	0.43	0.425	11	1	1
YOR259C	S000005785	RPT4	0.15	0.148	7.26	1	1
YIL052C	S000001314	RPL34B	0.37	0.367	9.27	1	1
YHR188C	S000001231	GPI16	-0.1	-0.102	7.49	1	1
YGL013C	S000002981	PDR1	0.07	0.0665	5.94	1	1
YJR125C	S000003886	ENT3	-0.09	-0.0914	6.3	1	1
YDR189W	S000002597	SLY1	0.17	0.169	6.48	1	1
YGL068W	S000003036	MNP1	0.08	0.0774	6.58	1	1
YDR321W	S000002729	ASP1	0.19	0.188	7.99	1	1
YOR153W	S000005679	PDR5	-0.17	-0.171	9.75	1	1
YPL050C	S000005971	MNN9	0.31	0.305	7.58	1	1
YHR179W	S000001222	OYE2	-0.24	-0.243	8.9	1	1
YMR276W	S000004889	DSK2	0.05	0.055	6.42	1	1
YBR207W	S000000411	FTH1	-0.22	-0.219	6.47	1	1
YPR022C	S000006226	SDD4	0.07	0.0675	5.77	1	1
YOR021C	S000005547	SFM1	0.09	0.0864	6.08	1	1
YDR334W	S000002742	SWR1	-0.08	-0.0835	6	1	1
YER025W	S000000827	GCD11	0.37	0.366	8.66	1	1
YLR133W	S000004123	CKI1	-0.12	-0.121	5.4	1	1
YML028W	S000004490	TSA1	-0.24	-0.236	11.5	1	1
YIR037W	S000001476	HYR1	-0.32	-0.32	7.16	1	1
YBL092W	S000000188	RPL32	0.33	0.329	10.7	1	1
YAL012W	S000000010	CYS3	0.06	0.0585	9.88	1	1
YGL056C	S000003024	SDS23	0.2	0.196	6.56	1	1
YLR375W	S000004367	STP3	-0.09	-0.0932	6.01	1	1
YLR096W	S000004086	KIN2	0.32	0.324	6.46	1	1
YMR246W	S000004860	FAA4	0.39	0.385	8.65	1	1
YBL022C	S000000118	PIM1	0.05	0.0468	7.37	1	1
YDL078C	S000002236	MDH3	-0.31	-0.308	7.1	1	1
YMR061W	S000004665	RNA14	0.09	0.0917	6.37	1	1
YIL109C	S000001371	SEC24	-0.19	-0.189	9.39	1	1
YDR037W	S000002444	KRS1	0.23	0.228	7.1	1	1
YAL029C	S000000027	MYO4	0.41	0.41	7.17	1	1
YHR119W	S000001161	SET1	0.16	0.165	5.93	1	1
YDR174W	S000002581	HMO1	-0.2	-0.202	7.99	1	1
YDL192W	S000002351	ARF1	0.17	0.173	8.79	1	1
YLR454W	S000004446	FMP27	-0.27	-0.269	7.41	1	1
YNL267W	S000005211	PIK1	0.09	0.0916	6.45	1	1
YLR058C	S000004048	SHM2	-0.05	-0.0548	8.52	1	1
YJL081C	S000003617	ARP4	0.08	0.0796	5.84	1	1
YDR035W	S000002442	ARO3	0.18	0.179	6.55	1	1
YNL044W	S000004989	YIP3	0.25	0.254	7.36	1	1
YLR240W	S000004230	VPS34	-0.16	-0.16	5.61	1	1
YDR098C	S000002505	GRX3	0.31	0.312	7.16	1	1
YBR212W	S000000416	NGR1	-0.33	-0.327	7.32	1	1
YDR156W	S000002563	RPA14	0.11	0.11	5.56	1	1
YBL003C	S000000099	HTA2	0	0.00451	7.38	1	1
YMR259C	S000004872	TRM732	0.3	0.298	6.83	1	1
YER068W	S000000870	MOT2	0.24	0.236	6.4	1	1
YKL007W	S000001490	CAP1	-0.14	-0.144	6.25	1	1
YDR186C	S000002594	SND1	-0.21	-0.209	5.99	1	1
YHL004W	S000000996	MRP4	0.29	0.293	6.62	1	1
YGL105W	S000003073	ARC1	0.17	0.165	8.85	1	1
YAR007C	S000000065	RFA1	0.09	0.0889	6.52	1	1
YDL058W	S000002216	USO1	0.2	0.197	6.67	1	1
YJL026W	S000003563	RNR2	-0.22	-0.223	8.98	1	1
YML049C	S000004513	RSE1	-0.14	-0.136	6.3	1	1
YBR125C	S000000329	PTC4	0.25	0.251	6.14	1	1
YER031C	S000000833	YPT31	0.24	0.242	6.39	1	1
YCL050C	S000000555	APA1	-0.31	-0.31	8.69	1	1
YLL040C	S000003963	VPS13	-0.36	-0.364	7.26	1	1
YDL147W	S000002306	RPN5	0.05	0.0453	7.53	1	1
YOL014W	S000005374	NA	-0.32	-0.317	6.1	1	1
YFL022C	S000001872	FRS2	0.33	0.326	8.6	1	1
YIL135C	S000001397	VHS2	-0.22	-0.221	6.52	1	1
YBR112C	S000000316	CYC8	0.27	0.27	6.89	1	1
YER168C	S000000970	CCA1	0.23	0.232	6.06	1	1
YGR134W	S000003366	CAF130	0.21	0.21	5.84	1	1
YBL091C	S000000187	MAP2	0.14	0.141	7.24	1	1
YMR272C	S000004885	SCS7	-0.25	-0.25	7.32	1	1
YCR031C	S000000627	RPS14A	0.14	0.142	10.8	1	1
YJL172W	S000003708	CPS1	0.17	0.172	7.35	1	1
YJL054W	S000003590	TIM54	-0.02	-0.0202	6.23	1	1
YDL103C	S000002261	QRI1	0.15	0.152	6.27	1	1
YBR009C	S000000213	HHF1	-0.02	-0.0182	6.8	1	1
YDR119W	S000002526	VBA4	0.33	0.33	7.83	1	1
YFR051C	S000001947	RET2	0.06	0.0562	8.2	1	1
YGL022W	S000002990	STT3	0.15	0.145	8.41	1	1
YCR028C-A	S000007222	RIM1	0.3	0.298	6.84	1	1
YAL022C	S000000020	FUN26	-0.12	-0.116	5.85	1	1
YOR260W	S000005786	GCD1	0.27	0.268	7.84	1	1
YFL007W	S000001887	BLM10	-0.27	-0.268	7.76	1	1
YER080W	S000000882	AIM9	0.01	0.0104	6.13	1	1
YHR086W	S000001128	NAM8	-0.12	-0.116	5.89	1	1
YLR001C	S000003991	NA	0.18	0.177	5.45	1	1
YER143W	S000000945	DDI1	-0.07	-0.0735	5.68	1	1
YGL253W	S000003222	HXK2	0.27	0.268	11	1	1
YPR065W	S000006269	ROX1	-0	-0.00404	5.78	1	1
YHR039C	S000001081	MSC7	0.34	0.343	8.16	1	1
YBL020W	S000000116	RFT1	-0.16	-0.162	6.73	1	1
YGR032W	S000003264	GSC2	-0.04	-0.036	7.95	1	1
YGL139W	S000003107	FLC3	-0.03	-0.0342	6.51	1	1
YMR296C	S000004911	LCB1	0.24	0.237	7.99	1	1
YGL103W	S000003071	RPL28	0.2	0.204	10.8	1	1
YPL091W	S000006012	GLR1	-0.35	-0.346	6.94	1	1
YPR019W	S000006223	MCM4	-0.1	-0.101	6.24	1	1
YJL129C	S000003665	TRK1	-0.14	-0.136	7.03	1	1
YDR097C	S000002504	MSH6	0.01	0.0149	5.46	1	1
YHL003C	S000000995	LAG1	-0.36	-0.36	7.24	1	1
YLR130C	S000004120	ZRT2	0.22	0.218	6.92	1	1
YLR247C	S000004237	IRC20	-0.16	-0.157	6.08	1	1
YGL114W	S000003082	NA	-0.1	-0.102	5.96	1	1
YFR052W	S000001948	RPN12	0.13	0.13	6.57	1	1
YPL128C	S000006049	TBF1	-0.19	-0.191	5.74	1	1
YBL085W	S000000181	BOI1	-0.1	-0.0992	6.23	1	1
YFR010W	S000001906	UBP6	-0.16	-0.157	6.87	1	1
YLR310C	S000004301	CDC25	0.21	0.207	7.03	1	1
YLR075W	S000004065	RPL10	0.17	0.17	11.7	1	1
YOL136C	S000005496	PFK27	-0.14	-0.14	5.85	1	1
YHR019C	S000001061	DED81	0.32	0.324	9.43	1	1
YLR113W	S000004103	HOG1	-0.38	-0.383	7.78	1	1
YNL118C	S000005062	DCP2	0.06	0.0592	6.68	1	1
YGL207W	S000003175	SPT16	0.23	0.228	7.9	1	1
