ORF	GENENAME	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SGD
YIL170W	HXT12	14.84987644858715	0.9768969799614816	0.8786888462191698	1.1117666784606208	0.2662384822565108	0.4433627805823767	S000001432
YFL056C	AAD6	265.8870707348264	0.8156190588668623	0.18340482955368798	4.447096954053255	8.703855978647073e-6	7.470698978924251e-5	S000001838
YAR061W	NA	20.132641844518574	-0.6364363080065135	0.4683633651074353	-1.3588515998908772	0.17419361848688333	0.3292948561619851	S000000087
YGR014W	MSB2	2615.6547738478694	-0.01741058005703447	0.12822443145058746	-0.13578208037322284	0.8919935576411082	0.9420980238696807	S000003246
YPR031W	NTO1	237.3713151133513	-0.11634434669278988	0.22611030783814584	-0.5145468501863765	0.6068697138708541	0.7553252013885399	S000006235
YIL003W	CFD1	199.8520880769908	0.24179836591526602	0.1819794092195039	1.328712775540492	0.18394274841609437	0.3424258713891664	S000001265
YBR140C	IRA1	2840.0834376191992	-0.17812507971552832	0.1192704620489883	-1.4934550990702669	0.13531809928023614	0.27503917359128255	S000000344
YKL029C	MAE1	3339.128276588427	0.4163060269712873	0.26733391539152046	1.5572510744160226	0.11941088645628982	0.25200000137284584	S000001512
YLR154C-G	NA	1332.9264259082356	-0.3797507194594643	0.5029114490138089	-0.7551045421696835	0.45018625802796514	0.6302159219704233	S000028561
YPL028W	ERG10	13172.257700593582	0.4975918145160948	0.13748851114412083	3.6191519595008166	2.955700439067384e-4	0.001754693544713499	S000005949
YDL235C	YPD1	897.2593222443704	0.3241683879793543	0.1294602187357203	2.5040000020478157	0.01227980334841611	0.04336498393517297	S000002394
YER091C	MET6	2846.4043883026006	1.9477088383052383	0.267390455035465	7.284137491171502	3.237347255268319e-13	8.426095494962263e-12	S000000893
YDR356W	SPC110	240.25777236409655	0.24900315325321104	0.2690569059519492	0.9254665007471707	0.3547233011417714	0.5407414314042948	S000002764
YDR337W	MRPS28	439.61821954918923	0.13857285364906471	0.1353489949394354	1.0238188596160016	0.3059208407125228	0.48749630569325486	S000002745
YKL008C	LAC1	1343.1641363720478	-0.21608456626242342	0.13759608457143696	-1.570426708982674	0.11631587279032499	0.24733989465079015	S000001491
YDL200C	MGT1	64.63588433331316	0.1663351222050693	0.33536616785929624	0.4959806269869644	0.6199080793435559	0.7634476531718677	S000002359
YJR134C	SGM1	416.9830229220765	0.18456416656660468	0.1778912813386803	1.0375110302073778	0.2994977578493971	0.4803926946160657	S000003895
YMR135C	GID8	276.2582942941311	-0.7652477932886821	0.20959887234238336	-3.6510110228009083	2.612100277183926e-4	0.0015722941925404744	S000004742
YGR012W	MCY1	710.0170156386288	0.18892097641052152	0.1305055379539366	1.447608885970826	0.14772646460314298	0.29233304611012667	S000003244
YCR024C-A	PMP1	703.2250754126817	0.582369893819353	0.5185501333146029	1.1230734627273364	0.2614062956064961	0.4373887481844408	S000000619
YBL101C	ECM21	803.5727312650721	-0.5267834571009488	0.1260943770445131	-4.177691895927975	2.944821875080973e-5	2.2710272402887832e-4	S000000197
YLL040C	VPS13	2063.6230235350363	-0.377026029714954	0.09817847282829378	-3.840210779957253	1.2292871927770346e-4	8.19816441019275e-4	S000003963
YLR216C	CPR6	7943.764901447187	-0.8217573479192479	0.08852863743520048	-9.28239010253312	1.6571866961258984e-20	7.27867469189047e-19	S000004206
YJL210W	PEX2	389.7186257669081	-0.8501191575265649	0.16475423797115707	-5.159922852335927	2.470516251123613e-7	2.936414876071237e-6	S000003746
YML116W-A	NA	101.52213444280792	-0.3232597264508196	0.2176667239190611	-1.485113207157117	0.13751383808053477	0.2778946073647615	S000004586
YBL058W	SHP1	1212.7190226426055	-0.39775431007601547	0.11136001090225714	-3.571787635914765	3.5455286281208225e-4	0.0020634536177324293	S000000154
YJR127C	RSF2	819.028162586945	-1.3474770913614793	0.15023432621387703	-8.969169199342499	2.987593188109954e-19	1.2171194857647943e-17	S000003888
YKL128C	PMU1	1112.516267115016	0.16037982788361313	0.10822189854716961	1.481953560569906	0.13835265205352865	0.27855731494007524	S000001611
YLR100W	ERG27	1920.8657319595964	0.3599477701875997	0.09038629083149888	3.9823270418146297	6.824378508234796e-5	4.825994462049814e-4	S000004090
YOR292C	NA	380.88411318095905	-0.9581753731967567	0.16841219374488617	-5.689465542193567	1.2743760115967328e-8	1.809227761918392e-7	S000005818
